,Date,Name,Split,Amount
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/24/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/25/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/25/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/25/2017,CraigsList,2064 · Fidelity 529 College Rewards,25.00
,08/25/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/25/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/25/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/25/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/25/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
