AIdent,Hours_Worked
186247,112.5
186249,41.75
186249,9.25
186253,22
186253,8
186257,47.92
186257,200.25
186257,354.25
186258,233.25
186258,36.42
186259,282.5
186259,39.09
186262,7.5
186262,122.88
186262,22.7
186263,576
186263,360
186264,35.75
186265,45
186267,15.6
186267,8.5
186267,70
186269,7
186274,640.4
186275,349.83
186278,40
186281,116.1
186281,174.72
186281,19.5
186281,228.2
186281,57.53
186284,1.5
186286,109.92
186287,7
186289,3.5
186292,244.94
186292,50.05
186293,723.25
186293,307
186294,28
186294,27.75
186296,96.5
186297,109.25
186297,17.75
186311,60
186313,8
186313,18.75
186314,5.3
186315,552.75
186317,132.5
186318,11.5
186319,52.5
186324,159.92
186326,40
186328,234.47
186328,204.71
186328,19.05
186328,87.93
186333,8
186333,18.75
186334,24
186336,5.08
186341,654.75
186341,45
186342,8
186344,128
186348,26
186348,160
186349,747.5
186352,292.2
186352,443.02
186353,289.4
186353,441.86
186356,64
186360,88.25
186362,112
186364,112.4
186364,80.35
186364,210.4
186364,42.3
186364,105.5
186366,306
186368,24.25
186368,162
186369,10.73
186370,8
186371,79.75
186377,63.36
186377,6.03
186377,250.18
186382,19
186382,37.5
186383,97.5
186388,30.38
186389,70.36
186389,420.38
186389,92.6
186389,32.72
186389,12.87
186391,3.5
186392,31.85
186393,303
186393,8
186395,57.38
186396,45.5
186397,26.46
186399,352.74
186399,340.56
186402,24.65
186403,24.6
186405,722.5
186406,124.7
186406,436.23
186406,132.75
186407,178.75
186407,67.75
186407,0
186407,244.75
186410,463.4
186413,522.75
186414,424.6
186415,47.21
186415,15.8
186415,7.75
186416,32
186416,29.38
186416,47.83
186416,109.14
186417,1
186417,6.5
186417,7
186418,95.75
186422,766.5
186424,49.2
186424,7.5
186425,34
186425,18.88
186430,32.07
186430,23
186431,31.93
186431,24
186431,3.8
186435,565.8
186444,104
186446,186.54
186446,213.31
186446,21.85
186446,81.82
186448,29.5
186455,12.75
186457,584
186457,280
186460,71.75
186461,62.18
186467,80.09
186468,191.75
186468,227.54
186468,45.47
186471,32
186471,32
186475,63
186478,160
186478,649
186482,256
186482,2.75
186484,77.15
186485,39.71
186487,81.65
186488,24.25
186490,37.57
186491,34.98
186491,2
186495,9.5
186497,8.5
186503,54.93
186503,11.7
186503,8
186503,199.5
186504,9.75
186507,8
186510,68
186511,174.55
186511,112.75
186512,306.91
186512,46
186512,127.33
186512,7.5
186513,118.36
186513,31.5
186513,15.5
186516,247.5
186516,22.5
186517,69.7
186521,7.75
186521,273.25
186522,21.5
186523,15.75
186530,8
186535,558.5
186536,113.07
186536,410.65
186536,319.65
186539,70.9
186541,8.5
186542,28.86
186545,252.43
186545,243.97
186545,299.07
186547,37.5
186547,10.34
186548,211.22
186548,17.9
186551,37.5
186553,39
186555,24
186556,162.54
186556,214.34
186556,57.1
186557,235.71
186557,259.42
186557,104.92
186558,91.25
186560,91
186562,10.5
186564,1
186568,229.25
186576,24
186576,16.25
186576,113.55
186576,10
186577,67
186577,18.32
186577,17.51
186577,46.25
186577,2.25
186578,8.25
186580,10
186581,232.06
186581,308.04
186581,46.05
186584,14.73
186584,38.6
186585,210
186589,558.35
186591,599.5
186592,8
186594,55.5
186597,166.75
186598,834.97
186600,446.5
186601,233.39
186601,294.01
186605,302.25
186605,313.5
186608,415
186611,10.23
186612,896.75
186615,2.75
186617,8
186618,929.75
186619,200.97
186619,172.27
186623,8
186624,193
186624,310.5
186626,649.25
186631,4.98
186632,8.25
186633,8.25
186633,60.77
186634,24
186635,24
186636,823
186638,882.75
186639,307.5
186641,407.5
186643,80.91
186643,369.3
186643,302.74
186645,31.82
186647,8
186651,134.17
186651,214.75
186651,406.89
186653,11
186657,53.48
186660,19
186660,16.63
186663,595.75
186664,4.15
186676,56
186676,13.99
186676,12
186676,5
186677,600
186677,320
186680,71.75
186684,14
186686,79.1
186686,160.6
186687,15
186697,856.75
186699,27
186700,241
186702,871
186703,111.2
186703,24.7
186705,100.75
186708,2.25
186710,11
186715,783.75
186717,39.75
186719,124.25
186720,922.75
186722,80.69
186722,426.26
186722,336.73
186725,46.5
186725,89.75
186728,72.2
186728,124.03
186728,28.7
186731,162.75
186731,40
186731,204
186734,132.55
186734,165.58
186734,250.48
186735,11
186736,38
186737,272.5
186737,563.75
186738,7.5
186738,12.47
186739,123.65
186739,165.57
186739,254.63
186740,265.5
186740,638.25
186741,125.25
186741,42.28
186741,16
186741,224.5
186741,193.65
186742,257.25
186742,556.75
186744,132.75
186744,228.75
186745,75.5
186745,204.25
186746,45.5
186750,267
186750,525
186751,357
186751,107
186752,127
186752,357.75
186753,82.5
186753,472.75
186761,16
186761,144.4
186764,127.35
186764,302.83
186764,381.21
186768,13
186770,6
186771,74
186776,16
186776,15
186776,262.17
186777,263
186777,86.99
186778,419.63
186778,241.2
186779,766.5
186782,669.75
186783,215.8
186784,225
186785,8
186786,16
186786,10.43
186786,7.75
186788,80.59
186788,198.64
186790,45.9
186793,44.23
186794,73.1
186794,125
186796,110
186797,19.7
186809,49.2
186811,436.25
186812,5.25
186812,8.5
186816,182.02
186816,6.27
186817,785.6
186820,182.2
186820,156.2
186820,49.75
186820,89.75
186825,117.5
186825,59.5
186829,8.75
186830,24
186830,173.5
186839,23.9
186839,6.6
186845,21
186845,40
186846,130.5
186856,73.73
186857,5.5
186859,9.5
186859,54.92
186859,12.5
186860,9.5
186860,27.78
186861,16
186861,63
186863,53
186863,40
186865,99
186866,8
186866,160
186866,24.75
186866,287.5
186866,307
186867,172.5
186867,98
186876,7.5
186878,10.23
186880,266.2
186882,7
186885,37.18
186887,125.15
