,Item_ID,AIdent,Branch,How_Heard,Profit
362,664145,184649,07-Columbus East,,177.6
363,668818,184941,11-Florence,Friend/Relative Referral,101.376
364,667653,184941,11-Florence,Friend/Relative Referral,96.2752
365,671117,184941,11-Florence,Friend/Relative Referral,525.7077
366,668236,185087,11-Florence,Indeed,7.2
367,668624,186137,11-Florence,Craigslist,151.008
368,678078,186137,11-Florence,Craigslist,77.0658
369,665461,186137,11-Florence,Craigslist,294.455
370,670971,186137,11-Florence,Craigslist,245.23
371,668625,186138,11-Florence,Other web site,149.232
372,678079,186138,11-Florence,Other web site,77.0658
373,665457,186138,11-Florence,Other web site,295.35
374,670972,186138,11-Florence,Other web site,741.06
375,668227,186425,11-Florence,Other web site,90.624
376,665911,186425,11-Florence,Other web site,121.72
377,668789,207387,11-Florence,Indeed,162.816
378,668788,207388,11-Florence,Indeed,163.824
379,668784,207692,11-Florence,Walk-In,61.104
380,668144,207692,11-Florence,Walk-In,192.9984
381,667724,207692,11-Florence,Walk-In,152.2176
382,668736,207813,11-Florence,Friend/Relative Referral,247.344
383,667705,207813,11-Florence,Friend/Relative Referral,145.2864
384,668737,207816,11-Florence,Friend/Relative Referral,153.264
385,667706,207816,11-Florence,Friend/Relative Referral,161.056
386,667594,207878,07-Columbus East,Friend/Relative Referral,2473.2
387,668728,207929,11-Florence,,19.536
388,667650,207929,11-Florence,,113.12
389,669356,207976,11-Florence,Friend/Relative Referral,78.864
390,668783,208002,11-Florence,,134.112
391,668131,208002,11-Florence,,33.7344
392,668234,208151,11-Florence,Friend/Relative Referral,48.24
393,668746,208174,11-Florence,Friend/Relative Referral,47.28
394,671305,208174,11-Florence,Friend/Relative Referral,659.8815
395,668036,208174,11-Florence,Friend/Relative Referral,66.304
396,673998,208174,11-Florence,Friend/Relative Referral,35.64
397,668237,208260,11-Florence,Friend/Relative Referral,274.8
398,672530,208260,11-Florence,Friend/Relative Referral,614.7918
399,668229,208330,11-Florence,Friend/Relative Referral,86.352
400,668537,208456,11-Florence,Friend/Relative Referral,60.528
401,676552,208456,11-Florence,Friend/Relative Referral,35.105
402,670509,208682,11-Florence,Friend/Relative Referral,22.8
403,668948,208682,11-Florence,Friend/Relative Referral,105.1904
404,669158,208759,11-Florence,Walk-In,56.4
405,669458,208827,11-Florence,Friend/Relative Referral,20.064
406,668979,208852,11-Florence,Friend/Relative Referral,112.416
407,673075,208852,11-Florence,Friend/Relative Referral,385.2051
408,669452,208948,11-Florence,Friend/Relative Referral,48.816
409,670541,184538,11-Florence,,1284.0045
410,668669,184538,11-Florence,,323.5008
411,668001,184538,11-Florence,,165.9424
412,664166,184538,11-Florence,,825.19
413,666809,184538,11-Florence,,225.5264
414,674767,184538,11-Florence,,1258.1536
415,670572,184615,11-Florence,,424.9635
416,668712,184615,11-Florence,,365.2096
417,668081,184615,11-Florence,,152.7968
418,670552,184728,11-Florence,,1263.9165
419,668684,184728,11-Florence,,230.8544
420,668019,184728,11-Florence,,125.2992
421,667248,184728,11-Florence,,174.5216
422,674521,184728,11-Florence,,579.15
423,670518,185528,11-Florence,Friend/Relative Referral,1299.9075
424,668142,185528,11-Florence,Friend/Relative Referral,412.2496
425,678072,185528,11-Florence,Friend/Relative Referral,15.4875
426,674955,185528,11-Florence,Friend/Relative Referral,29.92
427,670546,185723,11-Florence,Friend/Relative Referral,951.297
428,668676,185723,11-Florence,Friend/Relative Referral,221.1328
429,668011,185723,11-Florence,Friend/Relative Referral,158.7456
430,664957,185723,11-Florence,Friend/Relative Referral,147.73
431,667238,185723,11-Florence,Friend/Relative Referral,137.984
432,670622,185758,11-Florence,Indeed,37.0605
433,669468,185758,11-Florence,Indeed,67.2
434,665683,185758,11-Florence,Indeed,185.7625
435,666043,185758,11-Florence,Indeed,28.64
436,672176,186040,11-Florence,Friend/Relative Referral,18.693
437,672770,186040,11-Florence,Friend/Relative Referral,22.1375
438,665443,186040,11-Florence,Friend/Relative Referral,144.095
439,672185,186041,11-Florence,Friend/Relative Referral,18.7395
440,672768,186041,11-Florence,Friend/Relative Referral,92.4
441,665503,186041,11-Florence,Friend/Relative Referral,172.735
442,670568,186416,11-Florence,Other web site,507.501
443,668706,186416,11-Florence,Other web site,214.2784
444,668075,186416,11-Florence,Other web site,122.2208
445,667753,186416,11-Florence,Other web site,114.56
446,670553,207425,11-Florence,Walk-In,336.195
447,668685,207425,11-Florence,Walk-In,295.3664
448,668021,207425,11-Florence,Walk-In,134.4928
449,667254,207425,11-Florence,Walk-In,172.304
450,670549,207566,11-Florence,Other web site,1252.989
451,668679,207566,11-Florence,Other web site,194.5664
452,668014,207566,11-Florence,Other web site,191.8592
453,667243,207566,11-Florence,Other web site,139.04
454,674769,207566,11-Florence,Other web site,1450.1344
455,670576,207760,11-Florence,,830.1645
456,668718,207760,11-Florence,,194.0736
457,668473,207760,11-Florence,,127.7952
458,671631,207830,11-Florence,Friend/Relative Referral,283.185
459,678052,207830,11-Florence,Friend/Relative Referral,92.9808
460,669162,207830,11-Florence,Friend/Relative Referral,58.08
461,670582,207876,11-Florence,Friend/Relative Referral,963.9915
462,668933,207876,11-Florence,Friend/Relative Referral,102.816
463,677301,207876,11-Florence,Friend/Relative Referral,756
464,667554,207876,11-Florence,Friend/Relative Referral,273.87
465,670577,207908,11-Florence,Indeed,1332.7365
466,668719,207908,11-Florence,Indeed,444.0576
467,668474,207908,11-Florence,Indeed,222.7264
468,674774,207908,11-Florence,Indeed,380.1248
469,670573,207909,11-Florence,Indeed,1302.9765
470,668714,207909,11-Florence,Indeed,438.9952
471,668468,207909,11-Florence,Indeed,223.1008
472,674773,207909,11-Florence,Indeed,366.8192
473,670563,207926,11-Florence,Friend/Relative Referral,334.2885
474,668699,207926,11-Florence,Friend/Relative Referral,284.8384
475,668068,207926,11-Florence,Friend/Relative Referral,87.152
476,669624,207971,11-Florence,Friend/Relative Referral,537.4005
477,668492,207971,11-Florence,Friend/Relative Referral,168.26
478,670565,207989,11-Florence,,1051.923
479,668702,207989,11-Florence,,214.816
480,668071,207989,11-Florence,,148.512
481,674771,207989,11-Florence,,485.6896
482,670570,208038,11-Florence,Friend/Relative Referral,1085.217
483,668709,208038,11-Florence,Friend/Relative Referral,251.552
484,668077,208038,11-Florence,Friend/Relative Referral,128.544
485,674772,208038,11-Florence,Friend/Relative Referral,696.784
486,670612,208115,11-Florence,Friend/Relative Referral,1331.2485
487,669229,208115,11-Florence,Friend/Relative Referral,446.0736
488,674949,208115,11-Florence,Friend/Relative Referral,29.92
489,670517,208116,11-Florence,Friend/Relative Referral,1190.0745
490,668141,208116,11-Florence,Friend/Relative Referral,366.912
491,669625,208137,11-Florence,Friend/Relative Referral,41.6175
492,668491,208137,11-Florence,Friend/Relative Referral,168.26
493,671658,208175,11-Florence,Advanced Careers,539.772
494,670512,208201,11-Florence,,8.9745
495,668135,208201,11-Florence,,135.2064
496,670580,208373,11-Florence,,1602.39
497,668930,208373,11-Florence,,150.752
498,677514,208373,11-Florence,,149.935
499,675228,208373,11-Florence,,1088.34
500,669576,208398,11-Florence,Walk-In,490.0635
501,669480,208398,11-Florence,Walk-In,28.64
502,669566,208402,11-Florence,Other web site,444.0285
503,669473,208402,11-Florence,Other web site,57.28
504,670585,208421,11-Florence,Friend/Relative Referral,977.151
505,668936,208421,11-Florence,Friend/Relative Referral,114.7776
506,670583,208423,11-Florence,Walk-In,1120.092
507,668934,208423,11-Florence,Walk-In,114.8224
508,674775,208423,11-Florence,Walk-In,70.4
509,670587,208424,11-Florence,Walk-In,1204.0245
510,668938,208424,11-Florence,Walk-In,150.976
511,674776,208424,11-Florence,Walk-In,129.2049
512,670962,208432,11-Florence,Friend/Relative Referral,294.066
513,674148,208432,11-Florence,Friend/Relative Referral,627.858
514,677478,208432,11-Florence,Friend/Relative Referral,488.07
515,669276,208432,11-Florence,Friend/Relative Referral,273.87
516,670581,208461,11-Florence,Friend/Relative Referral,674.808
517,668932,208461,11-Florence,Friend/Relative Referral,105.2352
518,670594,208499,11-Florence,Friend/Relative Referral,513.2205
519,668941,208499,11-Florence,Friend/Relative Referral,112.5824
520,670610,208559,11-Florence,Friend/Relative Referral,219.573
521,668959,208559,11-Florence,Friend/Relative Referral,142.1056
522,674084,208559,11-Florence,Friend/Relative Referral,1775.6109
523,672744,208559,11-Florence,Friend/Relative Referral,185.7625
